"Hospital Name","Hospital Number","Hospital address","O2units Available","ICU with ventilators","Last Updated"
" New Bhosari Hospital","Phone: 9822370098","Address: Gulve Vasahat, Bhosari, Pimpri-Chinchwad, Maharashtra 411026","72","0","Last updated about 2 months ago"
" PGI YCM Hospital - DCH","Phone: 7767006111","Address: YCM Hospital Rd, Sant Tukaram Nagar, Pimpri Colony, Pune,","58","0","Last updated about 2 months ago"
" D.Y. Patil Medical College & Hospital","Phone: 9168259193","Address: Sant Tukaram Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","382","60","Last updated about 2 months ago"
" Aditya Birla Memorial Hospital - DCH","Phone: 9881123008","Address: Dange Chwok road, Chinchwad","179","25","Last updated about 2 months ago"
" Aarya Hospital, Moshi","Phone: 9834974688","Address: In Front Of Kumar Princeville Society Moshi","5","0","Last updated about 2 months ago"
" Aditya Hospital, Pimple Gurav","Phone: 9075471913","Address: Suyog Colony, Pimple Gurav, Pimpri-Chinchwad, Maharashtra 411061","12","0","Last updated about 2 months ago"
" Aegis Multispeciality Hospital, Akurdi","Phone: 9175277825","Address: Khandoba Mal, Tapsvi Plaza Akurdi","4","1","Last updated about 2 months ago"
" Anand Multispeciality, Bhosari","Phone: 9011023332","Address: Opp. PMT Chowk Pune Nashik Road Bhosari pune 411039","20","1","Last updated about 2 months ago"
" Ankur Hospital, Thergaon","Phone: 8149733771","Address: 16 No Bus Stop, Police Line Corner, Thergoan, opposite to prem super market, Pune, Maharashtra 411033","15","0","Last updated about 2 months ago"
" Ayush Hospital, Neharunagar","Phone: 9922736052","Address: Harsh Viraj, Santoshi Mata Chowk, Nehru Nagar signal, Nehru Nagar Bhosari Rd, near H.A ground, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","9","4","Last updated about 2 months ago"
" Ayushri Hospital, Pimpri","Phone: 9923231681","Address: Tapovan Mandir Rd, Pimpri Gaon, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017","10","2","Last updated about 2 months ago"
" Birasaheb Rupnar Memorial Hospital Bhosari","Phone: 9860799714","Address: S. No 3, Indrayani Nagar Bhosari","22","2","Last updated about 2 months ago"
" Chaudhari Hopsital, Chikhali","Phone: 8237770911","Address: Moshi - Alandi Rd, opp. Indian CNG petrol pump infront of madhubhan lodge, Jadhav Wadi, Chikhali, chikali, Maharashtra 412114","11","1","Last updated about 2 months ago"
" Chavan Hospital, Pimpri","Phone: 9552594775","Address: Chavan Hospital, Plot No. 54, Vastu Udyog, Pimpri Pune 18","8","1","Last updated about 2 months ago"
" Dhanvantari Hospital, Chikhali","Phone: 8485818004","Address: Main chauk, near Savta mali mandir, Jadhav Wadi, Chikhali, Pune, Maharashtra 412114","15","1","Last updated about 2 months ago"
" Dhanwantari MSH, Nigdi","Phone: 9595756763","Address: Sector No.25, Pradhikaran, Nigdi","19","4","Last updated about 2 months ago"
