"Hospital Name","Hospital Number","Hospital address","O2units Available","ICU with ventilators","Last Updated"
" DIAMOND HARBOUR GOVERNMENT MEDICAL COLLEGE AND HOSPITAL (Government Hospital)","Phone: 7797118955","Address: Diamond Harbour Rd, Harindanga, Diamond Harbour, West Bengal 743331, India","173","14","Last updated 13 days ago"
" Apex Clinic Private Limited (Private Hospital (Self Run))","Phone: 033 2406 8071","Address: 844/A, Raja Rammohan Roy Rd, Manton, Behala, Kolkata, West Bengal 700008 , KOLKATA METROPOLITAN AREA","50","22","Last updated 13 days ago"
" M R Bangur Hospital (Government Hospital)","Phone: 088207 02070/88202 07070","Address: 241, Deshpran Sasmal Rd, Netajinagar, Rajendra Prasad Colony, Tollygunge, Kolkata, West Bengal 700033, India","261","75","Last updated 13 days ago"
" Belur ESI T.B. Hospital (Government Hospital)","Phone: 03326463061, 8617292382","Address: P.O.- Sapuipara, P.S.- Nischinda, Howrah, West Bengal 711227 , HOWRAH","25","0","Last updated 13 days ago"
" SILIGURI DISTRICT HOSPITAL (Government Hospital)","Phone: 9002755031","Address: SILIGURI, WARD NO 17,HAKIMPARA, , DARJEELING","40","0","Last updated 14 days ago"
" ESI HOSPITAL BUDGE BUDGE (Government Hospital)","Phone: 9831737068","Address: Pulkhali Village Doulatpur Post Office, Budge Budge Trunk Rd, Vivekananda Pally, Kolkata, West Bengal 700139 , DAKSHIN 24 PARGANA","32","0","Last updated 14 days ago"
" Belle Vue Clinic, Govt Requisitioned (Govt. Requisitioned Pvt. Hospital)","Phone: 9331847265","Address: 9, Dr. U. N. Brahmachari Street (Formerly Loudon Street), Elgin, Kolkata, West Bengal 700017 , KOLKATA METROPOLITAN AREA","0","0","Last updated 14 days ago"
" TAMLUK DISTRICT HOSPITAL (Government Hospital)","Phone: 7364045140","Address: Haldia - Tamluk - Mechada Rd, Sriram Pur, Tamluk, West Bengal 721636, India","20","0","Last updated 14 days ago"
" HALDIA SUB DIVISIONAL HOSPITAL (Government Hospital)","Phone: 7364045140","Address: Haldia, West Bengal 721602, India","20","0","Last updated 14 days ago"
" JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL (Private Hospital (Self Run))","Phone: 9903396230","Address: RS DAG 689, K.P. MONDAL ROAD, BUITA, PIN - 700137 , DAKSHIN 24 PARGANA","12","5","Last updated 14 days ago"
" Chanchal SSH Malda (Government Hospital)","Phone: 9134203473","Address: Chanchal Roy para near dishari, Malda Kaligram, Chanchal, West Bengal 732123, India","15","0","Last updated 14 days ago"
" INDIAN INSTITUTE OF LIVER AND DIGESTIVE SCIENCES (Private Hospital (Self Run))","Phone: 033-24342300","Address: MALIPUKURIA, JAGADISHPUR, SONARPUR , DAKSHIN 24 PARGANA","0","5","Last updated 14 days ago"
" RAMPURHAT GOVT MEDICAL COLLEGE AND HOSPITAL (Government Hospital)","Phone: 9330980945","Address: Hospital More, Rampurhat, West Bengal 731224, India","78","12","Last updated 14 days ago"
" Health World Hospital (Private Hospital (Self Run))","Phone: 8170052869","Address: City Center, C-49, Mahatma Gandhi Rd, opp. ESIC Sub-Regional Office, Gandhi More, Commercial Area, Durgapur, West Bengal 713216, India","0","6","Last updated 14 days ago"
" I.D. And B.G. Hospital (Government Hospital)","Phone: 033 2303 2200","Address: 57, Beleghata Main Rd, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata, West Bengal 700010, India","232","2","Last updated 14 days ago"
" Binayak Multispeciality Hospital (Private Hospital (Self Run))","Phone: 03366016601, 9836411177","Address: Binayak Hospital, 59, KC Ghosh Rd, W-block, Binayak Enclave, PS:, Baranagar, Kolkata, West Bengal 700050, India","2","1","Last updated 14 days ago"
" Kharagpur Sub Divisional Hospital (Government Hospital)","Phone: 8509794057","Address: Keshiary Rd, Near IIT Institute, Chota Tengra, Kharagpur, West Bengal 721301, India","52","0","Last updated 14 days ago"
" IQ City Medical College Hospital (Private Hospital (Self Run))","Phone: 9933017777","Address: B-Zone, Durgapur, West Bengal 713206, India","15","5","Last updated 14 days ago"
" MALDA MEDICAL COLLEGE AND HOSPITAL (Government Hospital)","Phone: 9883233788","Address: Singatala, Uma Roy Sarani, Malda, West Bengal 732101, India","120","30","Last updated 14 days ago"
" Bauria SGH (Government Hospital)","Phone: 9474688332, 9433213370, 7003089471, 9831191683, 8584971102","Address: Howrah, Raghudebbatti, Nalpur, Howrah, West Bengal 711310, India","10","0","Last updated 14 days ago"
" KALIKAPUR NURSING HOME PVT. LTD. (Private Hospital (Self Run))","Phone: 7980073089,9903817897","Address: P.O.- Kalikapur, P.S.- Sonarpur, Pin- 743330 , DAKSHIN 24 PARGANA","0","2","Last updated 14 days ago"
" DESUN Hospital (Govt. Requisitioned Pvt. Hospital)","Phone: 090517 15171","Address: Desun More, 720, Eastern Metropolitan Bypass, Golpark, Sector I, Kasba, Kolkata, West Bengal 700107, India","17","5","Last updated 14 days ago"
" REMEDY HOSPITAL A unit of Remedy Medical Services Pvt. Ltd. (Private Hospital (Self Run))","Phone: 9330907530","Address: 3782, GARIA STATION ROAD, P.O.- GARIA, P.S.- NARENDRAPUR , DAKSHIN 24 PARGANA","20","8","Last updated 14 days ago"
" Covid Hospital Deben Mahato Govt Medical College and Hospital (Government Hospital)","Phone: 7583988101","Address: Hatuara, West Bengal 723147, India","263","12","Last updated 14 days ago"
" MOHANS MEDICAL CENTRE (Private Hospital (Self Run))","Phone: 9775443636","Address: PO+ PS: Diamond Harbour , DAKSHIN 24 PARGANA","5","3","Last updated 14 days ago"
" Hayat medicare-A unit of INFRATA Healthcare LLP (Private Hospital (Self Run))","Phone: 7478731882","Address: Alinagar, Farakka, Murshidabad , MURSHIDABAD","12","0","Last updated 14 days ago"
" Gabberia SGH (Government Hospital)","Phone: 9231179266, 9836621273, 9836393872","Address: Amta-Ranihati Road, Shuvararah, West Bengal 711302, India","20","0","Last updated 14 days ago"
" Udaynarayanpur SGH (Government Hospital)","Phone: 9733617391","Address: Udaynarayanpur-Jagatballabhpur 1, Udaynarayanpur, West Bengal 711226, India","20","0","Last updated 14 days ago"
" Biswa Bangla Krirangan COVID Hospital (Government Hospital)","Phone: 8207283307, 8167880988,","Address: Jalpaiguri, West Bengal 735101, India","40","12","Last updated 14 days ago"
" COVID Care Center, Mal (Government Hospital)","Phone: 9775613688","Address: Matiali ITI College, Chalsa, Jalpaiguri - 735223 , JALPAIGURI","50","0","Last updated 14 days ago"
" COVID Ward, MAL SDH (Government Hospital)","Phone: 8101093533","Address: WARD NO: 06, MAL MUNICIPALITY, JALPAIGURI-735221 , JALPAIGURI","35","0","Last updated 14 days ago"
" Night Shelter, COVID Hospital, Jalpaiguri (Government Hospital)","Phone: 8597965016","Address: TB Hospital Para, Opposite of Jalpaiguri SSH, Paharpur, Jalpaiguri-735101 , JALPAIGURI","0","0","Last updated 14 days ago"
" Genesis Trauma Centre and Nursing Home (Private Hospital (Self Run))","Phone: 9476444580","Address: NH-34,Gabgachhi,Jadupur,Kamalabari,Englishbazar,Malda-732103 , MALDA","5","0","Last updated 14 days ago"
" DINHATA SUB DIVISIONAL HOSPITAL (Government Hospital)","Phone: 8436789565","Address: Hospital more, Main Road,, Ward Number 2, Dinhata, West Bengal 736135, India","20","0","Last updated 14 days ago"
